reference_name,reference_type,works_count,total_repetitions,avg_reps_per_work,primary_tier,work_identifiers
Castles Made of Sand,song,34,57,1.7,exact,"JS-0000-T1212, JS-0000-T1402, JS-0000-T4642, JS-0000-T5164, JS-0000-T5688, JS-0000-T5764, JS-0000-T6338, JS-0000-T6630, JS-0000-T6722, JS-0000-T862, JS-1921-T5024, JS-1921-T6192, JS-1921-T738, JS-1974-T5174, JS-1981-T1738, JS-1982-T1464, JS-2003-T1638, JS-2013-T2192, JS-2013-T2550, JS-2013-T4776, JS-2016-T6758, JS-2016-T6862, JS-2020-T4884, JS-2021-T2630, JS-2021-T4696, JS-2021-T5906, JS-2023-T1744, JS-2024-T1946, JS-2024-T2036, JS-2025-T1456, JS-2025-T3462, JS-2026-T6898, JS-2026-T7162, JS-2026-T7314"
Edgar Degas,visual_artist,34,50,1.5,exact,"JS-0000-T1680, JS-0000-T2364, JS-0000-T2384, JS-0000-T2620, JS-0000-T2632, JS-0000-T2684, JS-0000-T2794, JS-0000-T3484, JS-0000-T5396, JS-1923-T1554, JS-1929-T560, JS-2011-T1612, JS-2016-T1202, JS-2016-T5750, JS-2016-T5778, JS-2019-T2318, JS-2019-T2382, JS-2019-T2424, JS-2021-T5844, JS-2022-T2898, JS-2022-T4654, JS-2023-T496, JS-2026-T6916, JS-2026-T7018, JS-2026-T7028, JS-2026-T7040, JS-2026-T7064, JS-2026-T7130, JS-2026-T7180, JS-2026-T7260, JS-2026-T7296, JS-2026-T7342, JS-2026-T7360, JS-2026-T7364"
Man Ray,visual_artist,33,117,3.5,multi_word,"JS-0000-T2632, JS-0000-T2794, JS-0000-T4410, JS-0000-T5380, JS-0000-T5858, JS-0000-T6316, JS-0000-T644, JS-0000-T6440, JS-1921-T2698, JS-1921-T2846, JS-1921-T698, JS-1921-T740, JS-2007-T4692, JS-2014-T5400, JS-2016-T5296, JS-2016-T5750, JS-2018-T888, JS-2019-T2382, JS-2019-T592, JS-2021-T4374, JS-2021-T6450, JS-2026-T6910, JS-2026-T6938, JS-2026-T6950, JS-2026-T7028, JS-2026-T7054, JS-2026-T7064, JS-2026-T7106, JS-2026-T7138, JS-2026-T7164, JS-2026-T7296, JS-2026-T7304, JS-2026-T7342"
Mark Rothko,visual_artist,33,49,1.5,exact,"JS-0000-T1718, JS-0000-T1986, JS-0000-T2350, JS-0000-T2384, JS-0000-T2684, JS-0000-T6404, JS-0000-T6552, JS-0000-T6844, JS-1922-T1360, JS-1947-T6094, JS-2007-T4692, JS-2014-T5400, JS-2016-T1202, JS-2016-T5750, JS-2019-T2382, JS-2019-T2424, JS-2020-T1176, JS-2021-T5844, JS-2022-T430, JS-2026-T6934, JS-2026-T7024, JS-2026-T7028, JS-2026-T7056, JS-2026-T7088, JS-2026-T7130, JS-2026-T7138, JS-2026-T7170, JS-2026-T7246, JS-2026-T7312, JS-2026-T7324, JS-2026-T7338, JS-2026-T7342, JS-2026-T7348"
This Magic Moment,song,33,37,1.1,exact,"JS-0000-T1096, JS-0000-T1392, JS-0000-T1440, JS-0000-T1670, JS-0000-T1690, JS-0000-T2012, JS-0000-T2672, JS-0000-T3578, JS-0000-T5022, JS-0000-T5312, JS-0000-T5544, JS-0000-T5840, JS-0000-T6262, JS-0000-T6320, JS-0000-T6756, JS-0000-T694, JS-2010-T6424, JS-2014-T3346, JS-2016-T155, JS-2016-T2970, JS-2017-T1654, JS-2017-T4592, JS-2017-T460, JS-2019-T103, JS-2021-T5514, JS-2021-T5904, JS-2022-T1608, JS-2022-T3528, JS-2023-T1005, JS-2023-T1444, JS-2024-T6330, JS-2026-T7336, JS-2028-T339"
Sesame Street,tv,32,39,1.2,exact,"JS-0000-T1096, JS-0000-T1130, JS-0000-T1392, JS-0000-T1756, JS-0000-T1834, JS-0000-T2010, JS-0000-T2306, JS-0000-T5482, JS-0000-T6308, JS-0000-T6768, JS-0000-T800, JS-1921-T5290, JS-1921-T6266, JS-1921-T696, JS-1923-T556, JS-1968-T892, JS-2014-T1032, JS-2016-T436, JS-2016-T6156, JS-2016-T6670, JS-2017-T6744, JS-2019-T103, JS-2020-T255, JS-2021-T5088, JS-2021-T5378, JS-2021-T5904, JS-2021-T6190, JS-2023-T3374, JS-2023-T6332, JS-2023-T6848, JS-2024-T4160, JS-2026-T7286"
Congo Free State,historical_event,31,40,1.3,exact,"JS-0000-T1392, JS-0000-T1798, JS-0000-T2384, JS-0000-T2892, JS-0000-T5344, JS-0000-T5658, JS-0000-T6404, JS-0000-T6732, JS-0000-T6842, JS-1922-T6582, JS-1927-T652, JS-1982-T5018, JS-2002-T1588, JS-2012-T4350, JS-2014-T2054, JS-2015-T6730, JS-2016-T4136, JS-2016-T6740, JS-2019-T4732, JS-2019-T6868, JS-2021-T1146, JS-2021-T1702, JS-2021-T5586, JS-2023-T3376, JS-2023-T3474, JS-2023-T6832, JS-2024-T1896, JS-2024-T3370, JS-2024-T3446, JS-2026-T6906, JS-2026-T7278"
Stevie Wonder,musician,31,38,1.2,exact,"JS-0000-T1288, JS-0000-T1550, JS-0000-T1664, JS-0000-T1670, JS-0000-T1690, JS-0000-T2674, JS-0000-T347, JS-0000-T3542, JS-0000-T3578, JS-0000-T4718, JS-0000-T5688, JS-0000-T5800, JS-0000-T6600, JS-0000-T6756, JS-1925-T4714, JS-1984-T6024, JS-2001-T1748, JS-2013-T2310, JS-2014-T5104, JS-2016-T155, JS-2019-T121, JS-2022-T1608, JS-2022-T6004, JS-2023-T1005, JS-2023-T1792, JS-2023-T3544, JS-2024-T167, JS-2024-T3532, JS-2026-T7030, JS-2026-T7090, JS-2026-T7142"
Chelsea Morning,song,31,34,1.1,exact,"JS-0000-T1590, JS-0000-T1670, JS-0000-T1916, JS-0000-T2694, JS-0000-T2878, JS-0000-T2944, JS-0000-T5192, JS-0000-T6138, JS-0000-T6196, JS-0000-T6476, JS-0000-T6524, JS-0000-T6600, JS-0000-T6650, JS-1921-T1636, JS-1921-T1762, JS-1921-T6286, JS-1984-T1452, JS-1984-T6024, JS-2016-T6156, JS-2017-T6810, JS-2021-T6488, JS-2022-T1608, JS-2023-T3420, JS-2023-T3466, JS-2023-T3538, JS-2023-T860, JS-2024-T3532, JS-2026-T7070, JS-2026-T7290, JS-2026-T7308, JS-2026-T7328"
Staten Island,other,31,33,1.1,exact,"JS-0000-T1690, JS-0000-T1798, JS-0000-T239, JS-0000-T2672, JS-0000-T3578, JS-0000-T5110, JS-0000-T5562, JS-0000-T5668, JS-0000-T5764, JS-0000-T5840, JS-0000-T6186, JS-0000-T6846, JS-0000-T7, JS-1927-T652, JS-2002-T6300, JS-2014-T5328, JS-2016-T2118, JS-2016-T6580, JS-2017-T1644, JS-2019-T4732, JS-2020-T1074, JS-2021-T5944, JS-2021-T730, JS-2022-T1608, JS-2022-T371, JS-2022-T987, JS-2023-T6518, JS-2023-T6856, JS-2025-T3462, JS-2026-T6892, JS-2026-T7162"
A Farewell to Arms,work,31,32,1.0,exact,"JS-0000-T1382, JS-0000-T1670, JS-0000-T2878, JS-0000-T321, JS-0000-T5938, JS-0000-T6106, JS-0000-T6360, JS-0000-T6404, JS-1921-T5674, JS-1923-T556, JS-1975-T6260, JS-1975-T6294, JS-1991-T6858, JS-2000-T5324, JS-2009-T159, JS-2015-T856, JS-2017-T1206, JS-2017-T1772, JS-2019-T1770, JS-2019-T558, JS-2020-T1272, JS-2021-T223, JS-2021-T682, JS-2021-T6836, JS-2022-T1608, JS-2022-T371, JS-2023-T195, JS-2023-T3466, JS-2024-T2098, JS-2024-T6616, JS-2026-T6914"
R. Crumb,visual_artist,30,87,2.9,exact,"JS-0000-T1442, JS-0000-T1532, JS-0000-T1750, JS-0000-T2012, JS-0000-T2388, JS-0000-T2632, JS-0000-T5344, JS-0000-T6434, JS-0000-T644, JS-0000-T808, JS-1921-T698, JS-1923-T654, JS-2012-T177, JS-2013-T2376, JS-2014-T5400, JS-2016-T1202, JS-2017-T5084, JS-2024-T1476, JS-2026-T6950, JS-2026-T7028, JS-2026-T7064, JS-2026-T7086, JS-2026-T7134, JS-2026-T7144, JS-2026-T7148, JS-2026-T7184, JS-2026-T7322, JS-2026-T7342, JS-2026-T7364, JS-2027-T283"
The Beatles,band,29,289,10.0,exact,"JS-0000-T1530, JS-0000-T179, JS-0000-T3556, JS-0000-T5800, JS-0000-T5862, JS-0000-T666, JS-1921-T1354, JS-1923-T2586, JS-1981-T4730, JS-2005-T4870, JS-2007-T3460, JS-2013-T868, JS-2016-T2396, JS-2019-T2318, JS-2020-T1176, JS-2021-T1982, JS-2023-T1418, JS-2023-T4750, JS-2024-T3408, JS-2026-T6888, JS-2026-T7056, JS-2026-T7066, JS-2026-T7116, JS-2026-T7154, JS-2026-T7164, JS-2026-T7184, JS-2026-T7244, JS-2026-T7290, JS-2026-T7342"
The Jimi Hendrix Experience,band,29,54,1.9,exact,"JS-0000-T1478, JS-0000-T2298, JS-0000-T245, JS-0000-T5544, JS-0000-T586, JS-0000-T6726, JS-0000-T880, JS-1922-T6582, JS-1977-T6272, JS-1986-T2972, JS-1991-T6470, JS-2001-T5670, JS-2004-T2032, JS-2013-T6248, JS-2017-T428, JS-2018-T886, JS-2020-T2920, JS-2021-T5880, JS-2021-T6788, JS-2023-T2946, JS-2023-T6658, JS-2024-T3360, JS-2026-T6936, JS-2026-T6958, JS-2026-T7142, JS-2026-T7146, JS-2026-T7326, JS-2026-T7368, JS-2026-T7374"
Otis Redding,musician,29,31,1.1,fuzzy,"JS-0000-T1400, JS-0000-T1526, JS-0000-T1796, JS-0000-T1988, JS-0000-T2892, JS-0000-T3394, JS-0000-T4148, JS-0000-T5840, JS-0000-T6432, JS-0000-T6772, JS-0000-T6860, JS-0000-T808, JS-1921-T5682, JS-1921-T6754, JS-1922-T2734, JS-1922-T6582, JS-1923-T6382, JS-1993-T3450, JS-2002-T1588, JS-2003-T3584, JS-2013-T6520, JS-2016-T1202, JS-2016-T2970, JS-2016-T6386, JS-2020-T5112, JS-2024-T3370, JS-2026-T6898, JS-2026-T7142, JS-2026-T7378"
The Waste Land,work,28,37,1.3,exact,"JS-0000-T3564, JS-0000-T4642, JS-0000-T6372, JS-0000-T746, JS-0000-T774, JS-0000-T814, JS-0000-T842, JS-1921-T696, JS-1922-T6582, JS-1975-T6294, JS-1981-T1738, JS-2004-T1618, JS-2015-T6730, JS-2016-T5282, JS-2019-T4732, JS-2020-T1302, JS-2021-T2776, JS-2021-T6264, JS-2023-T1744, JS-2023-T195, JS-2023-T3376, JS-2023-T5082, JS-2023-T6518, JS-2024-T6216, JS-2024-T6608, JS-2026-T7140, JS-2026-T7162, JS-2026-T7314"
Leonardo da Vinci,visual_artist,28,30,1.1,exact,"JS-0000-T1186, JS-0000-T2014, JS-0000-T205, JS-0000-T2632, JS-0000-T5702, JS-0000-T6116, JS-0000-T6138, JS-0000-T6262, JS-1922-T2332, JS-1922-T337, JS-2007-T4692, JS-2011-T1836, JS-2014-T5400, JS-2018-T2222, JS-2024-T2968, JS-2026-T6954, JS-2026-T6958, JS-2026-T7010, JS-2026-T7028, JS-2026-T7106, JS-2026-T7164, JS-2026-T7184, JS-2026-T7218, JS-2026-T7246, JS-2026-T7260, JS-2026-T7282, JS-2026-T7322, JS-2026-T7372"
The Who,band,27,32,1.2,multi_word,"JS-0000-T257, JS-0000-T343, JS-0000-T3564, JS-0000-T5380, JS-0000-T848, JS-2019-T2318, JS-2019-T3588, JS-2020-T1176, JS-2021-T1846, JS-2023-T1418, JS-2023-T2946, JS-2023-T3376, JS-2023-T6658, JS-2026-T6896, JS-2026-T6912, JS-2026-T7056, JS-2026-T7058, JS-2026-T7066, JS-2026-T7116, JS-2026-T7120, JS-2026-T7154, JS-2026-T7166, JS-2026-T7170, JS-2026-T7210, JS-2026-T7244, JS-2026-T7246, JS-2026-T7342"
Robert Rauschenberg,visual_artist,27,30,1.1,exact,"JS-0000-T2350, JS-0000-T5026, JS-0000-T782, JS-1922-T1360, JS-1922-T337, JS-1972-T2882, JS-2014-T5400, JS-2014-T6110, JS-2016-T5750, JS-2016-T5778, JS-2017-T598, JS-2020-T1176, JS-2026-T7024, JS-2026-T7028, JS-2026-T7056, JS-2026-T7088, JS-2026-T7090, JS-2026-T7094, JS-2026-T7130, JS-2026-T7156, JS-2026-T7192, JS-2026-T7218, JS-2026-T7262, JS-2026-T7302, JS-2026-T7312, JS-2026-T7338, JS-2026-T7342"
Hamlet,work,25,54,2.2,multi_word,"JS-0000-T5110, JS-0000-T586, JS-0000-T6106, JS-0000-T6218, JS-0000-T6404, JS-0000-T6756, JS-0000-T794, JS-0000-T796, JS-0000-T814, JS-1923-T556, JS-1975-T6260, JS-1975-T6294, JS-2000-T5324, JS-2013-T2310, JS-2019-T1770, JS-2019-T558, JS-2020-T1272, JS-2021-T2630, JS-2022-T806, JS-2023-T1792, JS-2023-T1818, JS-2023-T3380, JS-2023-T780, JS-2024-T2098, JS-2024-T6616"
Stations of the Cross,religious,23,45,2.0,multi_word,"JS-0000-T1394, JS-0000-T1756, JS-0000-T2944, JS-0000-T3496, JS-0000-T6440, JS-0000-T6674, JS-1921-T1698, JS-1927-T652, JS-1981-T267, JS-2002-T5660, JS-2013-T868, JS-2016-T2274, JS-2019-T1350, JS-2019-T1742, JS-2019-T6408, JS-2019-T6680, JS-2021-T4872, JS-2023-T3420, JS-2023-T572, JS-2026-T7052, JS-2026-T7350, JS-2026-T7376, JS-2027-T2020"
Marcel Duchamp,visual_artist,23,27,1.2,exact,"JS-0000-T1308, JS-0000-T1808, JS-0000-T2674, JS-0000-T4458, JS-0000-T5550, JS-0000-T6402, JS-2011-T1836, JS-2016-T5750, JS-2021-T991, JS-2026-T6958, JS-2026-T7018, JS-2026-T7028, JS-2026-T7034, JS-2026-T7078, JS-2026-T7164, JS-2026-T7192, JS-2026-T7242, JS-2026-T7244, JS-2026-T7260, JS-2026-T7344, JS-2026-T7346, JS-2026-T7360, JS-2026-T7372"
The End,song,23,23,1.0,multi_word,"JS-0000-T1288, JS-0000-T1670, JS-0000-T327, JS-0000-T3542, JS-0000-T3556, JS-0000-T3578, JS-0000-T5110, JS-0000-T814, JS-1921-T2698, JS-1921-T5290, JS-1965-T4352, JS-2002-T2668, JS-2002-T6870, JS-2012-T1338, JS-2021-T744, JS-2022-T1608, JS-2022-T3528, JS-2022-T6004, JS-2023-T1005, JS-2023-T3538, JS-2024-T3408, JS-2024-T3520, JS-2026-T7330"
The Stranger,work,23,23,1.0,fuzzy,"JS-0000-T1412, JS-0000-T1696, JS-0000-T2980, JS-0000-T4148, JS-0000-T4704, JS-0000-T6640, JS-1920-T6546, JS-1921-T1762, JS-1977-T6272, JS-2001-T5670, JS-2001-T6798, JS-2012-T153, JS-2016-T2584, JS-2016-T6212, JS-2016-T6598, JS-2017-T6446, JS-2018-T6354, JS-2020-T1806, JS-2020-T846, JS-2023-T2202, JS-2024-T6468, JS-2026-T6918, JS-2026-T6922"
Joan Miro,visual_artist,22,102,4.6,exact,"JS-0000-T1288, JS-0000-T1680, JS-0000-T2012, JS-0000-T5550, JS-0000-T6402, JS-1922-T337, JS-2011-T1836, JS-2016-T5750, JS-2019-T1328, JS-2019-T2318, JS-2019-T5406, JS-2021-T6040, JS-2022-T1934, JS-2026-T7108, JS-2026-T7130, JS-2026-T7180, JS-2026-T7200, JS-2026-T7244, JS-2026-T7260, JS-2026-T7262, JS-2026-T7322, JS-2026-T7360"
"Norman, Oklahoma",other,22,25,1.1,exact,"JS-0000-T1512, JS-0000-T1676, JS-0000-T6458, JS-0000-T842, JS-1927-T652, JS-2011-T6614, JS-2014-T5328, JS-2017-T6744, JS-2018-T4670, JS-2019-T6868, JS-2020-T1074, JS-2020-T6638, JS-2021-T5944, JS-2022-T3464, JS-2023-T3434, JS-2024-T1896, JS-2026-T7084, JS-2026-T7212, JS-2026-T7246, JS-2026-T7254, JS-2026-T7320, JS-2026-T7348"
Caravaggio,visual_artist,21,25,1.2,exact,"JS-0000-T2632, JS-0000-T2794, JS-0000-T3484, JS-0000-T3762, JS-0000-T6076, JS-0000-T6196, JS-0000-T6224, JS-0000-T6402, JS-1981-T4152, JS-2007-T4692, JS-2011-T1612, JS-2021-T4374, JS-2021-T5844, JS-2022-T2772, JS-2026-T7028, JS-2026-T7040, JS-2026-T7078, JS-2026-T7130, JS-2026-T7192, JS-2026-T7244, JS-2026-T7360"
High Noon,film,20,35,1.8,exact,"JS-0000-T1178, JS-0000-T1750, JS-0000-T245, JS-0000-T2722, JS-0000-T5398, JS-1991-T4996, JS-2011-T1836, JS-2012-T5646, JS-2020-T4884, JS-2021-T51, JS-2026-T7024, JS-2026-T7056, JS-2026-T7122, JS-2026-T7146, JS-2026-T7170, JS-2026-T7222, JS-2026-T7312, JS-2026-T7320, JS-2026-T7374, JS-2026-T7376"
Titian,visual_artist,20,25,1.2,exact,"JS-0000-T2632, JS-0000-T3484, JS-0000-T6196, JS-0000-T6210, JS-0000-T6402, JS-0000-T880, JS-2007-T4692, JS-2014-T5400, JS-2016-T5750, JS-2016-T5778, JS-2019-T2382, JS-2019-T592, JS-2021-T1280, JS-2022-T4654, JS-2023-T6068, JS-2026-T7008, JS-2026-T7028, JS-2026-T7058, JS-2026-T7084, JS-2026-T7130"
Edouard Manet,visual_artist,20,24,1.2,exact,"JS-0000-T1186, JS-0000-T2364, JS-0000-T2632, JS-0000-T2794, JS-0000-T3484, JS-1922-T2332, JS-2007-T4692, JS-2014-T966, JS-2019-T2382, JS-2019-T592, JS-2023-T3456, JS-2026-T7028, JS-2026-T7034, JS-2026-T7108, JS-2026-T7132, JS-2026-T7138, JS-2026-T7234, JS-2026-T7296, JS-2026-T7342, JS-2026-T7360"
"Memphis, Tennessee",other,19,36,1.9,exact,"JS-0000-T1604, JS-0000-T1646, JS-0000-T3564, JS-0000-T6674, JS-0000-T880, JS-1921-T698, JS-1925-T452, JS-1927-T652, JS-1994-T6534, JS-2001-T1746, JS-2014-T1880, JS-2014-T5328, JS-2016-T1658, JS-2018-T544, JS-2020-T1074, JS-2021-T730, JS-2023-T3500, JS-2023-T664, JS-2024-T3520"
Jackson Pollock,visual_artist,19,22,1.2,exact,"JS-0000-T2632, JS-0000-T6196, JS-0000-T6536, JS-0000-T782, JS-1947-T6094, JS-2016-T5778, JS-2019-T2424, JS-2021-T5844, JS-2022-T2898, JS-2026-T7028, JS-2026-T7054, JS-2026-T7056, JS-2026-T7084, JS-2026-T7182, JS-2026-T7200, JS-2026-T7296, JS-2026-T7342, JS-2026-T7360, JS-2027-T317"
Kublai Khan,historical_figure,19,20,1.1,exact,"JS-0000-T1412, JS-0000-T1494, JS-0000-T2896, JS-0000-T3542, JS-0000-T6338, JS-0000-T6458, JS-0000-T6500, JS-0000-T6592, JS-1921-T6394, JS-1921-T696, JS-1925-T452, JS-1929-T560, JS-2012-T4350, JS-2021-T2248, JS-2021-T700, JS-2022-T1472, JS-2022-T2660, JS-2024-T3532, JS-2026-T7214"
"Xenia, Ohio",other,19,19,1.0,exact,"JS-0000-T1382, JS-0000-T1512, JS-0000-T163, JS-0000-T2766, JS-0000-T5992, JS-0000-T6338, JS-1927-T652, JS-1983-T1466, JS-2012-T4350, JS-2014-T5328, JS-2016-T6686, JS-2018-T544, JS-2019-T2562, JS-2021-T2776, JS-2021-T5378, JS-2021-T700, JS-2021-T730, JS-2026-T7084, JS-2026-T7278"
War and Peace,work,18,21,1.2,exact,"JS-0000-T1130, JS-0000-T1560, JS-0000-T247, JS-0000-T5546, JS-0000-T5678, JS-0000-T6174, JS-0000-T6344, JS-2015-T1170, JS-2017-T4890, JS-2017-T6744, JS-2019-T2574, JS-2021-T2630, JS-2023-T496, JS-2024-T2086, JS-2026-T6894, JS-2026-T7008, JS-2026-T7272, JS-2026-T7312"
Keith Richards,musician,18,20,1.1,fuzzy,"JS-0000-T6218, JS-0000-T808, JS-1921-T2846, JS-1927-T652, JS-2013-T2550, JS-2017-T4980, JS-2017-T6744, JS-2019-T5216, JS-2019-T5250, JS-2021-T1498, JS-2021-T6796, JS-2022-T6390, JS-2024-T6800, JS-2026-T7108, JS-2026-T7190, JS-2026-T7220, JS-2026-T7334, JS-2026-T7342"
Paul Signac,visual_artist,18,18,1.0,exact,"JS-0000-T2384, JS-0000-T2632, JS-0000-T3484, JS-0000-T5786, JS-0000-T6196, JS-1922-T1360, JS-1922-T337, JS-2007-T4692, JS-2012-T4842, JS-2014-T5400, JS-2016-T5750, JS-2019-T2382, JS-2019-T2424, JS-2021-T4374, JS-2022-T4654, JS-2026-T7028, JS-2026-T7244, JS-2026-T7296"
Giotto,visual_artist,17,22,1.3,exact,"JS-0000-T2632, JS-0000-T2794, JS-0000-T5786, JS-2007-T4692, JS-2016-T5750, JS-2016-T5778, JS-2019-T1626, JS-2019-T2382, JS-2019-T2424, JS-2019-T5548, JS-2021-T5844, JS-2026-T7028, JS-2026-T7084, JS-2026-T7134, JS-2026-T7244, JS-2026-T7360, JS-2026-T7364"
Georges Seurat,visual_artist,17,17,1.0,exact,"JS-0000-T1680, JS-0000-T2632, JS-0000-T5786, JS-0000-T6196, JS-0000-T7483, JS-1921-T2682, JS-1983-T1466, JS-2007-T4692, JS-2016-T5778, JS-2019-T2382, JS-2019-T592, JS-2021-T5844, JS-2022-T4654, JS-2026-T7180, JS-2026-T7244, JS-2026-T7296, JS-2026-T7304"
Maurice Utrillo,visual_artist,17,17,1.0,exact,"JS-0000-T2632, JS-0000-T2794, JS-0000-T3484, JS-0000-T6196, JS-0000-T6402, JS-2007-T4692, JS-2008-T1274, JS-2014-T5400, JS-2016-T5778, JS-2019-T2382, JS-2019-T2424, JS-2021-T5844, JS-2024-T2036, JS-2026-T7028, JS-2026-T7040, JS-2026-T7130, JS-2026-T7342"
Elvis Presley,musician,16,29,1.8,exact,"JS-0000-T1796, JS-0000-T3564, JS-0000-T5786, JS-0000-T622, JS-0000-T6402, JS-1921-T2682, JS-1923-T1554, JS-1981-T4904, JS-1991-T1007, JS-2007-T3460, JS-2016-T5750, JS-2022-T2772, JS-2023-T3350, JS-2026-T7080, JS-2026-T7084, JS-2026-T7182"
Ted Kennedy,historical_figure,16,17,1.1,exact,"JS-0000-T2632, JS-0000-T2674, JS-0000-T5702, JS-0000-T6338, JS-0000-T6402, JS-0000-T6732, JS-1965-T4352, JS-1991-T6858, JS-2017-T2460, JS-2019-T5216, JS-2021-T4872, JS-2021-T5844, JS-2023-T3506, JS-2026-T7230, JS-2026-T7298, JS-2026-T7364"
American Museum of Natural History,venue,16,16,1.0,exact,"JS-0000-T1670, JS-0000-T1690, JS-0000-T3578, JS-0000-T6034, JS-0000-T6186, JS-0000-T6732, JS-0000-T6756, JS-0000-T6786, JS-1921-T171, JS-2003-T5820, JS-2014-T736, JS-2016-T155, JS-2017-T590, JS-2020-T1304, JS-2023-T1005, JS-2023-T3506"
Francis Picabia,visual_artist,16,16,1.0,exact,"JS-0000-T2364, JS-0000-T2632, JS-0000-T3974, JS-0000-T6086, JS-0000-T6196, JS-0000-T6402, JS-1922-T1360, JS-2019-T2318, JS-2021-T5844, JS-2023-T496, JS-2026-T7112, JS-2026-T7178, JS-2026-T7218, JS-2026-T7342, JS-2026-T7344, JS-2026-T7360"
Alberto Giacometti,visual_artist,16,16,1.0,exact,"JS-0000-T2632, JS-0000-T2794, JS-0000-T5396, JS-0000-T5550, JS-0000-T5786, JS-2007-T4692, JS-2016-T5778, JS-2019-T2382, JS-2019-T2424, JS-2021-T4374, JS-2021-T5844, JS-2026-T7028, JS-2026-T7084, JS-2026-T7180, JS-2026-T7296, JS-2026-T7360"
