reference_name,reference_type,works_count,total_repetitions,avg_reps_per_work,primary_tier,work_identifiers
John Lennon,musician,15,29,1.9,exact,"JS-0000-T2684, JS-0000-T41, JS-1921-T2846, JS-2016-T2274, JS-2017-T4676, JS-2019-T5216, JS-2021-T4872, JS-2021-T51, JS-2023-T2080, JS-2023-T2974, JS-2023-T6418, JS-2026-T7190, JS-2026-T7244, JS-2026-T7296, JS-2026-T7364"
The blind leading the blind,religious,15,22,1.5,exact,"JS-0000-T1016, JS-0000-T1988, JS-0000-T2892, JS-0000-T331, JS-0000-T3344, JS-0000-T3352, JS-0000-T4148, JS-2016-T6758, JS-2021-T2718, JS-2021-T2750, JS-2021-T5602, JS-2024-T1414, JS-2024-T3482, JS-2026-T7190, JS-2028-T339"
Jack Kerouac,author,15,22,1.5,exact,"JS-0000-T2684, JS-0000-T3542, JS-0000-T3556, JS-0000-T6426, JS-0000-T764, JS-1923-T1554, JS-1994-T2710, JS-2012-T149, JS-2022-T2500, JS-2026-T7022, JS-2026-T7102, JS-2026-T7126, JS-2026-T7184, JS-2026-T7260, JS-2026-T7296"
Michelangelo,visual_artist,15,16,1.1,exact,"JS-0000-T1288, JS-0000-T1808, JS-0000-T1886, JS-0000-T261, JS-0000-T2632, JS-0000-T5550, JS-0000-T5702, JS-0000-T6262, JS-0000-T6786, JS-2019-T592, JS-2026-T7016, JS-2026-T7028, JS-2026-T7106, JS-2026-T7220, JS-2026-T7260"
Irwin Allen Ginsberg,historical_figure,15,16,1.1,exact,"JS-0000-T1988, JS-0000-T3556, JS-0000-T4748, JS-0000-T6402, JS-0000-T6426, JS-0000-T764, JS-0000-T782, JS-0000-T814, JS-1921-T2792, JS-1921-T6754, JS-1994-T2710, JS-2016-T2124, JS-2022-T2500, JS-2026-T6946, JS-2026-T7292"
F. Scott Fitzgerald,author,15,16,1.1,multi_word,"JS-0000-T2632, JS-0000-T2684, JS-0000-T3578, JS-0000-T6076, JS-0000-T814, JS-1921-T850, JS-1922-T2734, JS-2021-T1846, JS-2021-T5514, JS-2022-T3486, JS-2022-T987, JS-2023-T3474, JS-2023-T6856, JS-2024-T6800, JS-2026-T7314"
T.S. Eliot,author,15,15,1.0,exact,"JS-0000-T1392, JS-0000-T163, JS-0000-T2632, JS-0000-T4574, JS-0000-T6426, JS-0000-T814, JS-1921-T850, JS-2021-T4872, JS-2023-T5082, JS-2024-T3354, JS-2026-T7008, JS-2026-T7038, JS-2026-T7134, JS-2026-T7164, JS-2026-T7374"
Hieronymus Bosch,visual_artist,15,15,1.0,exact,"JS-0000-T2632, JS-0000-T2794, JS-0000-T6440, JS-0000-T782, JS-1991-T6070, JS-2016-T5778, JS-2016-T804, JS-2017-T1654, JS-2019-T2424, JS-2021-T4374, JS-2026-T6954, JS-2026-T7098, JS-2026-T7130, JS-2026-T7342, JS-2026-T7360"
Winslow Homer,visual_artist,15,15,1.0,disambiguated,"JS-0000-T2632, JS-0000-T2794, JS-0000-T6196, JS-1922-T2332, JS-2007-T4692, JS-2016-T1202, JS-2016-T5750, JS-2016-T5778, JS-2019-T2382, JS-2019-T2424, JS-2026-T7028, JS-2026-T7034, JS-2026-T7296, JS-2026-T7360, JS-2026-T7364"
The Wizard of Oz,film,14,17,1.2,exact,"JS-0000-T1512, JS-0000-T2384, JS-0000-T3394, JS-0000-T345, JS-1927-T652, JS-2014-T5328, JS-2018-T544, JS-2020-T1074, JS-2021-T730, JS-2023-T3350, JS-2024-T2194, JS-2026-T6890, JS-2026-T7176, JS-2026-T7322"
Piet Mondrian,visual_artist,14,17,1.2,exact,"JS-0000-T1676, JS-0000-T2632, JS-0000-T3610, JS-1947-T6094, JS-2007-T4692, JS-2016-T5750, JS-2016-T6236, JS-2018-T2222, JS-2019-T592, JS-2021-T4374, JS-2026-T7024, JS-2026-T7116, JS-2026-T7170, JS-2026-T7260"
Michael Jackson,musician,14,16,1.1,exact,"JS-0000-T1972, JS-0000-T2674, JS-0000-T782, JS-0000-T880, JS-2018-T2222, JS-2021-T730, JS-2023-T3506, JS-2023-T6418, JS-2023-T780, JS-2026-T7182, JS-2026-T7230, JS-2026-T7276, JS-2026-T7364, JS-2027-T317"
Samuel Taylor Coleridge,author,14,14,1.0,multi_word,"JS-0000-T1392, JS-0000-T1412, JS-0000-T1494, JS-0000-T163, JS-0000-T6338, JS-1921-T696, JS-1925-T452, JS-1929-T560, JS-1994-T6534, JS-2012-T4350, JS-2021-T2248, JS-2021-T6836, JS-2022-T1472, JS-2026-T7214"
Heart of Darkness,work,13,33,2.5,exact,"JS-0000-T1400, JS-0000-T325, JS-0000-T5280, JS-0000-T6376, JS-1983-T1466, JS-2012-T1338, JS-2014-T5998, JS-2016-T5614, JS-2024-T2226, JS-2024-T3354, JS-2026-T7132, JS-2026-T7254, JS-2027-T2020"
Robert Johnson,musician,13,28,2.2,multi_word,"JS-0000-T1532, JS-0000-T1972, JS-0000-T3496, JS-0000-T6308, JS-0000-T6636, JS-0000-T6674, JS-1921-T850, JS-2012-T6764, JS-2013-T5070, JS-2019-T6680, JS-2026-T7068, JS-2026-T7284, JS-2026-T7350"
Jean Arp,visual_artist,13,19,1.5,exact,"JS-0000-T1680, JS-0000-T2652, JS-0000-T782, JS-1921-T2846, JS-2014-T1104, JS-2016-T5778, JS-2017-T5510, JS-2019-T1328, JS-2021-T6040, JS-2022-T2708, JS-2026-T6934, JS-2026-T7130, JS-2026-T7364"
The Great Gatsby,work,13,15,1.2,exact,"JS-0000-T1670, JS-0000-T2878, JS-0000-T6076, JS-0000-T814, JS-1922-T2734, JS-2018-T1776, JS-2018-T4670, JS-2022-T1608, JS-2022-T3528, JS-2022-T987, JS-2023-T3466, JS-2024-T6800, JS-2026-T7244"
University of Alabama,other,13,14,1.1,exact,"JS-0000-T1150, JS-0000-T1512, JS-0000-T622, JS-0000-T6404, JS-0000-T6828, JS-1927-T652, JS-2002-T5692, JS-2014-T5328, JS-2016-T2118, JS-2017-T4580, JS-2020-T1074, JS-2021-T5944, JS-2021-T730"
Ezra Pound,author,13,14,1.1,exact,"JS-0000-T1204, JS-0000-T2632, JS-0000-T2826, JS-0000-T6426, JS-0000-T814, JS-1921-T1114, JS-1921-T2792, JS-1922-T2696, JS-2019-T1742, JS-2021-T4872, JS-2023-T2202, JS-2026-T7008, JS-2026-T7164"
Northern California,other,13,13,1.0,exact,"JS-0000-T1512, JS-1927-T652, JS-1971-T5422, JS-2014-T5328, JS-2017-T4580, JS-2020-T1074, JS-2021-T1702, JS-2021-T2776, JS-2021-T5624, JS-2021-T5944, JS-2023-T3376, JS-2026-T7288, JS-2026-T7320"
Larry David,historical_figure,13,13,1.0,exact,"JS-0000-T2116, JS-0000-T221, JS-0000-T2388, JS-0000-T247, JS-0000-T5396, JS-0000-T6338, JS-0000-T6734, JS-1981-T1738, JS-1981-T4152, JS-2019-T2318, JS-2019-T5308, JS-2024-T167, JS-2026-T7028"
Chuck Berry,musician,12,28,2.3,multi_word,"JS-0000-T1532, JS-0000-T2116, JS-0000-T2694, JS-0000-T6402, JS-1921-T2846, JS-1923-T1528, JS-1927-T652, JS-1981-T2816, JS-2022-T2772, JS-2023-T3376, JS-2026-T7154, JS-2026-T7220"
Fontella Bass,musician,12,14,1.2,exact,"JS-0000-T1400, JS-1927-T652, JS-1965-T4352, JS-2006-T5994, JS-2014-T5494, JS-2016-T2396, JS-2019-T1650, JS-2021-T1498, JS-2022-T2740, JS-2026-T6890, JS-2026-T7202, JS-2026-T7368"
The Ghost in the Machine,other,12,14,1.2,exact,"JS-0000-T2892, JS-0000-T5616, JS-0000-T6404, JS-1981-T5146, JS-2015-T6730, JS-2020-T1302, JS-2021-T1146, JS-2021-T1846, JS-2021-T6304, JS-2023-T6134, JS-2026-T7136, JS-2026-T7248"
Fear and Loathing in Las Vegas,work,12,13,1.1,exact,"JS-0000-T1140, JS-0000-T257, JS-0000-T3422, JS-0000-T4918, JS-0000-T808, JS-1922-T2734, JS-1974-T5174, JS-2014-T5392, JS-2016-T4978, JS-2016-T6598, JS-2019-T5448, JS-2023-T3474"
I'm Not Like Everybody Else,song,12,13,1.1,exact,"JS-0000-T2572, JS-0000-T357, JS-0000-T6538, JS-1921-T5682, JS-1965-T4352, JS-1975-T6312, JS-2003-T3584, JS-2016-T1134, JS-2019-T121, JS-2023-T6288, JS-2026-T6922, JS-2026-T7142"
"Normal, Illinois",other,12,12,1.0,exact,"JS-0000-T1512, JS-0000-T1620, JS-0000-T1696, JS-1927-T652, JS-2014-T5328, JS-2016-T1898, JS-2017-T4580, JS-2018-T544, JS-2020-T1074, JS-2021-T2776, JS-2021-T6736, JS-2023-T187"
Tintoretto,visual_artist,12,12,1.0,exact,"JS-0000-T2632, JS-0000-T6196, JS-2007-T4692, JS-2011-T1612, JS-2016-T5778, JS-2019-T2382, JS-2019-T2424, JS-2021-T4374, JS-2021-T5844, JS-2023-T3350, JS-2026-T7028, JS-2026-T7262"
Stream of consciousness,other,11,48,4.4,exact,"JS-0000-T2046, JS-0000-T5358, JS-2019-T1396, JS-2021-T2812, JS-2021-T700, JS-2022-T1198, JS-2022-T2250, JS-2022-T279, JS-2023-T572, JS-2026-T7176, JS-2026-T7252"
Franz Kafka,author,11,32,2.9,exact,"JS-0000-T1774, JS-0000-T784, JS-1982-T6456, JS-2019-T1200, JS-2019-T6146, JS-2021-T5370, JS-2026-T7012, JS-2026-T7058, JS-2026-T7138, JS-2026-T7150, JS-2026-T7344"
Ernest Hemingway,author,11,23,2.1,exact,"JS-0000-T1204, JS-0000-T2116, JS-0000-T2632, JS-0000-T2684, JS-0000-T814, JS-2014-T5732, JS-2016-T2970, JS-2024-T1634, JS-2026-T6918, JS-2026-T7022, JS-2026-T7218"
The Road,work,11,15,1.4,multi_word,"JS-0000-T169, JS-0000-T1778, JS-0000-T6630, JS-1921-T5290, JS-1921-T5320, JS-1997-T1196, JS-2016-T5570, JS-2016-T5962, JS-2018-T365, JS-2021-T5798, JS-2023-T6482"
Cookie Monster,fictional_character,11,14,1.3,exact,"JS-0000-T2188, JS-0000-T3378, JS-0000-T6320, JS-0000-T6404, JS-1983-T1810, JS-2014-T5998, JS-2017-T6446, JS-2021-T5602, JS-2026-T6946, JS-2026-T7176, JS-2026-T7312"
John Coltrane,musician,11,14,1.3,exact,"JS-1921-T5290, JS-1951-T6696, JS-2026-T6890, JS-2026-T7024, JS-2026-T7032, JS-2026-T7080, JS-2026-T7112, JS-2026-T7276, JS-2026-T7306, JS-2026-T7316, JS-2026-T7344"
The Second Coming,work,11,13,1.2,exact,"JS-0000-T6640, JS-2007-T3414, JS-2011-T127, JS-2017-T6314, JS-2019-T2240, JS-2019-T4446, JS-2023-T61, JS-2023-T6482, JS-2026-T7014, JS-2026-T7200, JS-2026-T7286"
We Shall Not Be Moved,song,11,12,1.1,exact,"JS-0000-T4240, JS-1921-T2068, JS-1947-T6094, JS-2014-T5392, JS-2016-T1898, JS-2019-T1742, JS-2021-T2776, JS-2023-T3426, JS-2023-T6830, JS-2024-T1896, JS-2026-T7278"
Richard Serra,visual_artist,11,11,1.0,exact,"JS-0000-T1288, JS-0000-T1986, JS-0000-T5772, JS-0000-T6196, JS-0000-T782, JS-2016-T2112, JS-2016-T5750, JS-2026-T7028, JS-2026-T7098, JS-2026-T7158, JS-2026-T7342"
Jimmy Page,musician,11,11,1.0,exact,"JS-0000-T141, JS-0000-T2284, JS-0000-T6148, JS-0000-T6786, JS-0000-T962, JS-2016-T5718, JS-2018-T5266, JS-2019-T5216, JS-2021-T2308, JS-2023-T3456, JS-2023-T3886"
Staten Island Ferry,other,11,11,1.0,exact,"JS-0000-T1646, JS-0000-T1690, JS-0000-T2672, JS-0000-T3578, JS-0000-T5562, JS-0000-T5668, JS-0000-T5840, JS-1977-T5342, JS-2022-T1608, JS-2023-T6856, JS-2026-T6892"
Jane Taylor,author,11,11,1.0,exact,"JS-0000-T3546, JS-0000-T3762, JS-0000-T5380, JS-0000-T782, JS-2022-T2858, JS-2024-T2098, JS-2026-T6572, JS-2026-T6914, JS-2026-T7024, JS-2026-T7276, JS-2026-T7364"
Mississippi River flood,historical_event,10,14,1.4,multi_word,"JS-0000-T3342, JS-0000-T6338, JS-0000-T6476, JS-0000-T862, JS-2010-T5908, JS-2014-T5104, JS-2019-T2390, JS-2020-T2440, JS-2021-T5088, JS-2026-T7014"
Marlon Brando,other,10,13,1.3,exact,"JS-0000-T2116, JS-0000-T2364, JS-0000-T2794, JS-0000-T5616, JS-1921-T6394, JS-1921-T6668, JS-2016-T2118, JS-2019-T1200, JS-2026-T7130, JS-2026-T7364"
Fenway Park,venue,10,10,1.0,exact,"JS-0000-T1016, JS-0000-T1110, JS-1984-T6024, JS-2013-T4776, JS-2019-T2574, JS-2019-T4446, JS-2022-T6678, JS-2023-T1538, JS-2023-T3440, JS-2026-T6892"
Gloucester,other,10,10,1.0,exact,"JS-0000-T1288, JS-0000-T2490, JS-0000-T3342, JS-2003-T1576, JS-2014-T5316, JS-2014-T5494, JS-2021-T2890, JS-2021-T5876, JS-2023-T1486, JS-2023-T1570"
The Road Not Taken,work,10,10,1.0,exact,"JS-0000-T1382, JS-0000-T1774, JS-0000-T197, JS-0000-T6704, JS-2009-T5780, JS-2013-T4776, JS-2019-T2474, JS-2022-T806, JS-2024-T1434, JS-2026-T6904"
British Empire,historical_event,10,10,1.0,exact,"JS-0000-T1710, JS-0000-T1808, JS-0000-T2652, JS-1921-T6192, JS-2013-T2192, JS-2016-T6758, JS-2023-T1792, JS-2026-T6898, JS-2026-T6922, JS-2026-T6936"
Fun with Dick and Jane,work,10,10,1.0,exact,"JS-0000-T1986, JS-0000-T3366, JS-0000-T6552, JS-0000-T6864, JS-0000-T910, JS-1923-T1528, JS-2019-T5406, JS-2019-T5554, JS-2023-T3374, JS-2026-T7296"
Paul Cezanne,visual_artist,10,10,1.0,exact,"JS-0000-T2632, JS-0000-T3484, JS-0000-T6402, JS-2007-T4692, JS-2016-T5750, JS-2019-T2382, JS-2019-T2424, JS-2019-T592, JS-2021-T4374, JS-2026-T7028"
J.D. Salinger,author,9,27,3.0,exact,"JS-0000-T2672, JS-0000-T2684, JS-0000-T814, JS-2026-T7008, JS-2026-T7056, JS-2026-T7244, JS-2026-T7298, JS-2026-T7322, JS-2026-T7370"
Ishmael,fictional_character,9,17,1.9,exact,"JS-0000-T205, JS-0000-T2464, JS-1981-T4618, JS-1982-T2422, JS-2016-T4586, JS-2017-T2414, JS-2021-T2308, JS-2022-T4668, JS-2023-T1418"
Existentialism,other,9,10,1.1,exact,"JS-0000-T137, JS-0000-T1512, JS-0000-T6524, JS-1921-T1782, JS-1921-T6840, JS-2019-T2348, JS-2023-T6658, JS-2024-T3360, JS-2026-T6926"
Daisy Buchanan,fictional_character,9,10,1.1,exact,"JS-0000-T1670, JS-0000-T2674, JS-0000-T3542, JS-0000-T3578, JS-2017-T1644, JS-2022-T1608, JS-2022-T3528, JS-2023-T1005, JS-2026-T7230"
Lost Highway,film,9,10,1.1,exact,"JS-0000-T2170, JS-0000-T3724, JS-0000-T6016, JS-0000-T6458, JS-1974-T5174, JS-2016-T5614, JS-2019-T6350, JS-2021-T6808, JS-2026-T7190"
"Lowell, Massachusetts",other,9,9,1.0,exact,"JS-0000-T1512, JS-0000-T3342, JS-0000-T622, JS-1927-T652, JS-2014-T5328, JS-2017-T4580, JS-2020-T1074, JS-2021-T730, JS-2023-T6832"
Robert Smithson,visual_artist,9,9,1.0,exact,"JS-0000-T2632, JS-0000-T343, JS-0000-T6196, JS-0000-T782, JS-2016-T5778, JS-2019-T2424, JS-2019-T5216, JS-2021-T4374, JS-2023-T187"
Charlie Parker,musician,9,9,1.0,exact,"JS-0000-T6432, JS-1921-T5290, JS-1922-T1360, JS-1957-T792, JS-2023-T724, JS-2026-T6890, JS-2026-T6894, JS-2026-T7024, JS-2026-T7276"
The Hollow Men,work,9,9,1.0,multi_word,"JS-0000-T6878, JS-1925-T452, JS-2011-T6614, JS-2021-T6406, JS-2022-T1472, JS-2023-T3430, JS-2023-T5082, JS-2026-T7190, JS-2026-T7214"
Ludwig van Beethoven,musician,8,135,16.9,exact,"JS-0000-T2632, JS-1921-T2846, JS-2019-T2454, JS-2019-T2536, JS-2021-T3912, JS-2022-T2752, JS-2026-T7154, JS-2026-T7328"
James Brown,musician,8,80,10.0,multi_word,"JS-0000-T1646, JS-0000-T2880, JS-0000-T6532, JS-0000-T880, JS-1957-T792, JS-1972-T6578, JS-2020-T1302, JS-2026-T7220"
Pequod,fictional_character,8,74,9.2,exact,"JS-0000-T2302, JS-0000-T2412, JS-1981-T4618, JS-2019-T2300, JS-2019-T2562, JS-2019-T2580, JS-2019-T4732, JS-2022-T4668"
Johann Sebastian Bach,musician,8,20,2.5,exact,"JS-0000-T2110, JS-0000-T2632, JS-1921-T2846, JS-2013-T1094, JS-2013-T868, JS-2016-T5750, JS-2026-T7142, JS-2026-T7154"
Gravity's Rainbow,work,8,20,2.5,exact,"JS-0000-T995, JS-1927-T652, JS-1982-T1464, JS-2021-T2340, JS-2021-T670, JS-2021-T6782, JS-2024-T3520, JS-2026-T7244"
Sea Fever,work,8,15,1.9,exact,"JS-0000-T2572, JS-0000-T347, JS-0000-T5280, JS-0000-T5992, JS-0000-T6316, JS-2016-T2286, JS-2021-T6304, JS-2026-T6896"
Detroit Red Wings,sports,8,14,1.8,exact,"JS-0000-T2404, JS-0000-T4458, JS-0000-T4748, JS-0000-T6752, JS-2014-T5104, JS-2016-T6386, JS-2024-T2098, JS-2026-T6950"
Spontaneous generation,other,8,9,1.1,exact,"JS-0000-T1988, JS-0000-T4748, JS-0000-T808, JS-1923-T490, JS-2021-T6736, JS-2022-T371, JS-2024-T1414, JS-2026-T7264"
Christo,visual_artist,8,9,1.1,exact,"JS-0000-T2632, JS-0000-T2794, JS-1921-T2846, JS-2022-T2898, JS-2022-T4654, JS-2023-T1536, JS-2026-T7244, JS-2026-T7342"
The Man in the Gray Flannel Suit,work,8,8,1.0,exact,"JS-0000-T1394, JS-0000-T6538, JS-2016-T6236, JS-2016-T6862, JS-2022-T1752, JS-2023-T750, JS-2025-T3462, JS-2026-T7032"
Central African Republic,other,8,8,1.0,exact,"JS-0000-T1670, JS-0000-T2834, JS-0000-T3542, JS-0000-T3578, JS-2022-T1608, JS-2023-T1005, JS-2023-T3456, JS-2023-T3538"
Allen Ginsberg,author,8,8,1.0,multi_word,"JS-0000-T1988, JS-0000-T6402, JS-0000-T764, JS-0000-T814, JS-0000-T862, JS-1921-T6754, JS-2024-T3370, JS-2026-T7292"
Sandro Botticelli,visual_artist,8,8,1.0,exact,"JS-0000-T2632, JS-0000-T2794, JS-0000-T6196, JS-1981-T5146, JS-2016-T5778, JS-2026-T7180, JS-2026-T7342, JS-2026-T7360"
Not Ideas About the Thing But the Thing Itself,work,8,8,1.0,exact,"JS-0000-T4864, JS-0000-T6218, JS-0000-T6372, JS-2019-T558, JS-2021-T4992, JS-2024-T6800, JS-2026-T6936, JS-2026-T7154"
Last Exit to Brooklyn,work,8,8,1.0,exact,"JS-0000-T5688, JS-1921-T1762, JS-1921-T2846, JS-1957-T792, JS-2016-T6758, JS-2022-T6004, JS-2023-T3420, JS-2026-T7064"
Ad Reinhardt,visual_artist,8,8,1.0,exact,"JS-0000-T5832, JS-0000-T6196, JS-0000-T782, JS-1947-T6094, JS-2016-T5416, JS-2020-T5112, JS-2021-T1280, JS-2026-T7360"
Cold Sweat,song,8,8,1.0,exact,"JS-2015-T856, JS-2017-T1206, JS-2017-T4592, JS-2019-T1770, JS-2022-T2772, JS-2023-T812, JS-2026-T7286, JS-2028-T339"
Kilgore Trout,fictional_character,7,32,4.6,exact,"JS-0000-T2878, JS-0000-T2914, JS-1927-T652, JS-2021-T2724, JS-2022-T2740, JS-2026-T7168, JS-2026-T7364"
Ezekiel's Wheel,religious,7,31,4.4,exact,"JS-0000-T1186, JS-0000-T1210, JS-2016-T1490, JS-2021-T2308, JS-2021-T4696, JS-2023-T1005, JS-2023-T3466"
Television,work,7,13,1.9,exact,"JS-0000-T1544, JS-0000-T247, JS-0000-T446, JS-0000-T6358, JS-1920-T6546, JS-2016-T442, JS-2026-T7260"
Allegory of the Cave,work,7,9,1.3,exact,"JS-0000-T327, JS-0000-T347, JS-0000-T4718, JS-0000-T6498, JS-2011-T85, JS-2012-T153, JS-2019-T4106"
"Mexico, Missouri",other,7,8,1.1,exact,"JS-0000-T4748, JS-0000-T622, JS-1927-T652, JS-2016-T1898, JS-2020-T1074, JS-2021-T5944, JS-2024-T3590"
Frank Lloyd Wright,historical_figure,7,7,1.0,exact,"JS-0000-T1128, JS-0000-T5992, JS-1921-T2682, JS-2001-T6712, JS-2012-T5686, JS-2023-T187, JS-2026-T7238"
Carson City Correctional Facility,other,7,7,1.0,multi_word,"JS-0000-T1140, JS-0000-T5658, JS-0000-T5688, JS-1974-T5174, JS-1983-T1810, JS-2014-T5078, JS-2026-T7254"
Claude Monet,visual_artist,7,7,1.0,exact,"JS-0000-T205, JS-0000-T2632, JS-2016-T5750, JS-2019-T592, JS-2026-T7164, JS-2026-T7266, JS-2026-T7360"
Tea Party movement,historical_event,7,7,1.0,fuzzy,"JS-1921-T6266, JS-1981-T1728, JS-2016-T6240, JS-2017-T6810, JS-2020-T5112, JS-2021-T5048, JS-2026-T6942"
Kurt Schwitters,visual_artist,7,7,1.0,exact,"JS-2016-T5750, JS-2017-T5510, JS-2019-T2424, JS-2026-T7134, JS-2026-T7158, JS-2026-T7184, JS-2026-T7260"
Roy Orbison,musician,6,75,12.5,exact,"JS-0000-T1824, JS-0000-T3988, JS-0000-T5840, JS-0000-T6428, JS-2022-T2772, JS-2026-T7008"
Charles Mingus,musician,6,23,3.8,exact,"JS-0000-T666, JS-0000-T7431, JS-2026-T6952, JS-2026-T7112, JS-2026-T7276, JS-2026-T7316"
James Joyce,author,6,15,2.5,multi_word,"JS-0000-T1204, JS-0000-T1440, JS-0000-T1526, JS-0000-T694, JS-2023-T1792, JS-2023-T780"
Howlin' Wolf,musician,6,9,1.5,multi_word,"JS-0000-T2014, JS-0000-T6674, JS-1921-T698, JS-2026-T6944, JS-2026-T7248, JS-2026-T7316"
On the Road,work,6,8,1.3,multi_word,"JS-0000-T169, JS-1921-T5320, JS-1997-T1196, JS-2016-T5570, JS-2016-T5962, JS-2023-T6482"
Van Morrison,musician,6,7,1.2,multi_word,"JS-0000-T2116, JS-0000-T2204, JS-1921-T4636, JS-2018-T544, JS-2024-T1414, JS-2026-T7376"
Anaconda Copper Company,other,6,7,1.2,exact,"JS-0000-T796, JS-1923-T490, JS-2011-T85, JS-2017-T4890, JS-2021-T6304, JS-2021-T6808"
Taxi Driver,film,6,6,1.0,exact,"JS-0000-T1128, JS-1921-T171, JS-1927-T652, JS-1947-T6094, JS-1981-T5638, JS-2018-T5086"
Kubla Khan,work,6,6,1.0,multi_word,"JS-0000-T1412, JS-0000-T6500, JS-1921-T696, JS-1925-T452, JS-2012-T4350, JS-2024-T3532"
Cat on a Hot Tin Roof,work,6,6,1.0,exact,"JS-0000-T2010, JS-0000-T5398, JS-2016-T2112, JS-2019-T6350, JS-2023-T946, JS-2024-T6132"
